Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Total;Feed flow rate (ton/hour);Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaO Addition in process ;Water added into system from redmud washing into conditioning   ;Alumunium in bauxite bauxite feed ;Alumunium in Recycled Spent Liquor  ;Alumina Hydrate Seed
51.50%;5.06%;15.13%;0.80%;1.36%;0.29%;0.03%;0.06%;0.14%;25.65%;100.00%;150;6.331095395;3.806573366;78.56658163;32.70577502;8.665269172;703.4746128
62.10%;7.17%;16.53%;2.99%;0.28%;0.57%;0.06%;0.49%;0.01%;9.80%;100.00%;150;3.895953496;7.390881826;104.9501687;39.43533032;7.95104262;809.6899393
58.01%;5.32%;19.28%;2.09%;1.45%;0.38%;0.12%;0.39%;0.04%;12.93%;100.00%;150;6.422747901;3.990441631;92.34465123;36.84225983;9.668938381;763.5458612
61.20%;7.46%;17.32%;2.96%;0.62%;0.72%;0.06%;0.38%;0.13%;9.15%;100.00%;150;6.789905786;7.28742486;110.1114392;38.86699746;11.80026995;919.0180364
57.36%;4.21%;21.75%;2.48%;0.43%;0.60%;0.13%;0.13%;0.07%;12.83%;100.00%;150;6.148728135;4.013534676;95.56935353;36.42853488;11.98095211;976.9401964
51.34%;5.44%;16.78%;2.40%;1.03%;0.44%;0.15%;0.25%;0.07%;22.11%;100.00%;150;5.945166183;4.616112385;89.09374523;32.60207976;10.97617148;887.0168385
58.24%;3.84%;15.61%;2.76%;0.92%;0.26%;0.21%;0.43%;0.04%;17.68%;100.00%;150;5.69245105;3.029876064;82.93062078;36.98838482;7.577105353;789.6724321
61.41%;4.31%;20.91%;0.79%;0.29%;0.81%;0.05%;0.58%;0.07%;10.77%;100.00%;150;6.412266857;4.281883493;88.18335138;39.00162642;10.71278475;944.1516943
55.70%;5.83%;22.76%;1.91%;0.47%;0.72%;0.18%;0.58%;0.08%;11.77%;100.00%;150;5.90714122;5.714830435;107.9920976;35.37164115;11.26741758;680.6890372
60.20%;6.53%;14.07%;0.30%;0.98%;0.85%;0.19%;0.28%;0.05%;16.54%;100.00%;150;6.371412715;5.855733588;85.50794119;38.23179679;13.27456835;816.1231291
58.01%;6.36%;19.86%;2.91%;1.20%;0.70%;0.08%;0.09%;0.11%;10.68%;100.00%;150;6.214708781;5.401522212;103.5179588;36.84160496;12.64630423;830.7260885
61.98%;3.19%;23.01%;0.98%;1.07%;0.91%;0.07%;0.52%;0.03%;8.23%;100.00%;150;6.084832039;2.152754485;84.55642935;39.36322362;9.464242018;972.7443541
61.13%;5.79%;23.35%;2.69%;0.96%;0.45%;0.29%;0.47%;0.10%;4.76%;100.00%;150;3.608396962;5.081656475;107.4859559;38.8211685;9.336068989;995.2851419
53.71%;3.93%;15.07%;2.08%;0.89%;0.92%;0.06%;0.47%;0.13%;22.75%;100.00%;150;6.402276204;3.155736051;73.82003229;34.10996498;7.830092294;625.1157249
54.55%;6.97%;21.90%;2.10%;1.01%;0.74%;0.24%;0.44%;0.05%;12.00%;100.00%;150;6.286213904;6.28958259;112.7115093;34.64369238;9.575436015;800.4487978
51.66%;3.53%;20.66%;1.30%;0.37%;0.79%;0.24%;0.29%;0.14%;21.01%;100.00%;150;5.994324585;3.35969183;81.62719124;32.81032577;9.058939808;849.5510466
58.75%;2.11%;15.93%;2.76%;0.33%;0.65%;0.08%;0.11%;0.12%;19.17%;100.00%;150;5.976677477;1.86960061;64.07156674;37.30870681;11.46423657;870.1421862
49.60%;2.17%;12.02%;0.28%;0.32%;0.36%;0.25%;0.47%;0.05%;34.49%;100.00%;150;5.502590941;1.952525913;48.39111386;31.50230584;11.40069206;771.8288873
54.06%;6.80%;21.54%;1.83%;1.45%;0.28%;0.09%;0.36%;0.07%;13.53%;100.00%;150;6.527370615;5.58411908;107.8082275;34.33221671;11.20394257;712.6129938
54.43%;7.69%;19.20%;2.47%;0.32%;0.72%;0.08%;0.14%;0.02%;14.94%;100.00%;150;6.410892773;7.883652733;112.506686;34.56792527;7.254289977;813.2316347
53.11%;4.69%;12.60%;1.30%;0.32%;0.88%;0.24%;0.16%;0.12%;26.60%;100.00%;150;5.576863321;4.661577411;71.55527779;33.72991431;9.153167406;781.11547
55.34%;7.11%;15.26%;0.72%;0.68%;0.55%;0.29%;0.52%;0.14%;19.38%;100.00%;150;6.356246156;6.829990065;94.96811189;35.1451915;10.86384651;794.5691589
50.71%;4.22%;22.06%;1.38%;0.33%;0.48%;0.01%;0.06%;0.11%;20.65%;100.00%;150;5.990698216;4.13811816;89.05704982;32.20403364;9.063498205;735.7044879
52.48%;4.70%;12.81%;1.31%;0.89%;0.43%;0.09%;0.24%;0.14%;26.91%;100.00%;150;6.483438896;3.988672991;70.33209074;33.32689806;10.97325218;771.3599506
61.25%;6.05%;12.66%;2.88%;0.31%;0.43%;0.10%;0.31%;0.11%;15.88%;100.00%;150;6.132857073;6.139023881;87.02827383;38.89900997;8.552821293;906.2774619
61.10%;3.19%;20.69%;1.88%;0.96%;0.82%;0.03%;0.11%;0.02%;11.21%;100.00%;150;4.363280887;2.285981676;80.56197538;38.80015236;13.70614717;852.3607467
61.64%;4.60%;23.68%;2.00%;0.36%;0.69%;0.12%;0.28%;0.06%;6.57%;100.00%;150;4.514847436;4.510425679;97.77675525;39.14282671;12.06477418;933.8421822
49.21%;6.09%;16.99%;0.35%;0.50%;0.76%;0.18%;0.39%;0.05%;25.47%;100.00%;150;5.80012518;5.945961159;89.55137155;31.25355872;7.467942347;751.6559206
49.66%;4.13%;22.13%;2.32%;0.52%;0.66%;0.10%;0.10%;0.12%;20.26%;100.00%;150;6.28065096;3.815413933;91.43313839;31.53920332;6.675612346;651.3365326
60.77%;2.16%;16.29%;1.75%;0.73%;0.81%;0.09%;0.37%;0.14%;16.89%;100.00%;150;2.82232849;1.446994061;62.46934107;38.59039222;9.262246429;834.5932502
49.94%;4.08%;17.07%;2.73%;0.97%;0.82%;0.10%;0.37%;0.10%;23.81%;100.00%;150;5.895395343;3.227522228;84.52215659;31.7185105;7.799533546;778.3459312
62.27%;3.53%;23.09%;0.97%;0.40%;0.73%;0.04%;0.29%;0.04%;8.64%;100.00%;150;5.31572003;3.314514536;87.65502728;39.54416227;9.81506653;820.5838206
53.31%;5.45%;21.23%;2.55%;1.32%;0.61%;0.13%;0.25%;0.07%;15.07%;100.00%;150;6.36810119;4.283903306;102.5648001;33.85632533;7.081906589;822.6581645
58.96%;7.35%;14.63%;1.99%;0.89%;0.79%;0.25%;0.06%;0.14%;14.94%;100.00%;150;5.895305427;6.844066514;102.8449095;37.4462959;7.659263299;857.963193
57.71%;5.81%;15.86%;1.80%;1.45%;0.34%;0.21%;0.18%;0.11%;16.53%;100.00%;150;6.247928613;4.521747769;87.74030071;36.65188435;12.73255774;879.049095
60.49%;4.67%;17.77%;2.01%;0.30%;0.46%;0.23%;0.38%;0.12%;13.57%;100.00%;150;6.253931667;4.66521333;84.11550016;38.41533218;10.77037565;771.4070984
56.63%;2.46%;22.87%;2.23%;1.39%;0.75%;0.07%;0.25%;0.15%;13.21%;100.00%;150;6.044269593;0.983815103;81.8504449;35.96519943;10.65454071;730.3213061
50.02%;3.89%;20.34%;1.03%;0.43%;0.68%;0.19%;0.13%;0.06%;23.23%;100.00%;150;5.864811125;3.669849531;81.99312249;31.76891781;8.682397352;594.3749411
58.98%;3.70%;24.13%;0.73%;0.32%;0.60%;0.29%;0.39%;0.08%;10.78%;100.00%;150;4.850371379;3.593077008;90.74505753;37.45897674;12.70216905;769.9996965
54.95%;3.84%;15.52%;1.15%;1.48%;0.89%;0.25%;0.45%;0.11%;21.35%;100.00%;150;5.90306532;2.352016339;71.76471513;34.89565514;11.03283452;924.8906871
56.53%;2.72%;14.16%;2.68%;0.83%;0.57%;0.12%;0.21%;0.05%;22.13%;100.00%;150;5.837461433;1.929444102;70.09463988;35.89921361;8.431196448;722.8274011
53.00%;7.50%;23.65%;0.96%;0.90%;0.34%;0.24%;0.22%;0.08%;13.12%;100.00%;150;6.334154409;6.99327868;116.4718736;33.65750478;7.267680937;712.5292908
50.77%;5.14%;16.92%;0.25%;0.99%;0.50%;0.17%;0.53%;0.14%;24.58%;100.00%;150;5.768142;4.342633871;87.81572803;32.24262506;9.114289982;634.5004881
49.93%;4.83%;13.16%;1.77%;1.21%;0.76%;0.17%;0.46%;0.10%;27.62%;100.00%;150;5.97978683;3.745475423;74.17218976;31.70714316;10.10902686;896.0260062
55.37%;6.17%;14.95%;0.93%;0.55%;0.28%;0.14%;0.13%;0.15%;21.34%;100.00%;150;5.896180144;5.976542294;90.7064553;35.16479571;7.191300475;599.8675446
62.66%;2.72%;19.85%;0.62%;0.72%;0.63%;0.28%;0.57%;0.11%;11.83%;100.00%;150;2.07448185;2.054321033;73.64598805;39.79095049;10.97781311;801.3351737
60.05%;1.82%;24.72%;1.64%;1.10%;0.81%;0.15%;0.38%;0.12%;9.21%;100.00%;150;5.869584311;0.643887177;81.51180809;38.13801151;8.749710266;786.4755558
49.93%;4.60%;22.34%;0.61%;0.80%;0.26%;0.15%;0.29%;0.11%;20.91%;100.00%;150;6.277308279;3.994510883;90.96331087;31.71071651;8.138798497;619.0095842
54.00%;1.89%;19.24%;2.15%;0.38%;0.50%;0.08%;0.07%;0.02%;21.67%;100.00%;150;5.842030095;1.574673949;68.05488512;34.29593434;11.26295913;950.7712768
56.49%;4.64%;15.81%;2.54%;0.85%;0.36%;0.29%;0.07%;0.09%;18.86%;100.00%;150;6.133643167;3.969228736;79.36000945;35.87329925;11.70665466;693.2001457
52.78%;5.41%;22.95%;2.60%;0.63%;0.56%;0.21%;0.26%;0.13%;14.48%;100.00%;150;5.786010456;5.066744817;104.5253969;33.52103237;11.72752039;721.2749656
52.69%;3.08%;24.02%;2.87%;1.29%;0.75%;0.03%;0.55%;0.04%;14.68%;100.00%;150;5.713876985;1.76934623;90.54814045;33.46072075;9.357955708;639.0366818
58.73%;3.84%;14.78%;1.75%;0.95%;0.54%;0.09%;0.52%;0.08%;18.73%;100.00%;150;5.96591488;2.991309794;71.35034356;37.29966366;12.91964351;816.5276358
57.70%;3.70%;23.50%;0.51%;0.38%;0.64%;0.09%;0.43%;0.03%;13.02%;100.00%;150;5.934488262;3.520575286;87.42987523;36.64331815;13.12621113;859.9540026
52.88%;5.33%;16.53%;1.40%;1.32%;0.62%;0.20%;0.19%;0.08%;21.46%;100.00%;150;6.193718783;4.158169725;84.51359108;33.581961;8.178778396;779.5370589
56.14%;6.39%;14.03%;1.59%;0.30%;0.36%;0.05%;0.09%;0.12%;20.93%;100.00%;150;6.360349784;6.509153116;86.48529224;35.65041917;10.7010913;691.3967032
60.34%;2.12%;15.50%;0.52%;0.57%;0.78%;0.11%;0.40%;0.09%;19.58%;100.00%;150;1.874671436;1.597153139;57.08167689;38.31954825;14.13882498;918.2965278
58.22%;7.88%;14.43%;2.96%;0.92%;0.57%;0.17%;0.34%;0.03%;14.48%;100.00%;150;6.788127518;7.376639557;102.0044834;36.9739173;12.43768014;870.8730326
51.23%;4.54%;20.30%;1.00%;1.02%;0.77%;0.27%;0.13%;0.05%;20.68%;100.00%;150;5.634456471;3.666274054;90.12625583;32.53381516;7.789682196;641.9571547
51.44%;4.08%;22.48%;1.02%;1.42%;0.37%;0.16%;0.17%;0.04%;18.83%;100.00%;150;6.052159726;2.688536855;91.6372415;32.66648711;7.188598521;774.0830704
55.07%;5.20%;16.02%;0.48%;0.85%;0.31%;0.03%;0.12%;0.09%;21.83%;100.00%;150;6.364365922;4.5855239;79.18800521;34.97220203;8.920808315;757.2543171
53.69%;7.01%;17.22%;1.37%;0.98%;0.86%;0.02%;0.21%;0.12%;18.52%;100.00%;150;6.226066994;6.367311622;101.1553299;34.09967268;7.016264121;617.6482772
54.69%;3.24%;13.55%;2.16%;0.57%;0.68%;0.14%;0.33%;0.09%;24.54%;100.00%;150;5.636186586;2.802094553;68.12917223;34.7309404;7.758903011;659.2422072
57.97%;4.92%;16.35%;1.50%;1.04%;0.87%;0.10%;0.26%;0.10%;16.89%;100.00%;150;6.374647971;4.041630599;83.45238449;36.81656124;9.668763113;810.3400198
51.64%;4.21%;24.19%;0.78%;1.06%;0.61%;0.09%;0.23%;0.02%;17.16%;100.00%;150;6.255656688;3.248264428;99.69280784;32.79280349;8.159503036;607.2993696
50.49%;1.97%;20.05%;1.85%;0.34%;0.87%;0.04%;0.22%;0.10%;24.08%;100.00%;150;5.50337246;1.712897082;69.95190831;32.06235262;12.15018805;938.2714919
51.08%;2.12%;24.54%;2.08%;0.67%;0.89%;0.12%;0.45%;0.10%;17.95%;100.00%;150;5.553284949;1.48723749;84.47942261;32.44145317;8.310215158;680.1925552
60.34%;7.59%;22.91%;0.84%;0.28%;0.39%;0.16%;0.07%;0.07%;7.34%;100.00%;150;6.255639666;7.833291013;117.0959213;38.31965424;10.4517502;899.3533128
50.23%;2.11%;15.56%;1.83%;1.31%;0.55%;0.17%;0.54%;0.09%;27.60%;100.00%;150;5.839298041;0.704543826;62.83758931;31.89857285;8.213183284;646.8608067
58.68%;7.96%;16.19%;1.81%;0.66%;0.25%;0.24%;0.58%;0.02%;13.61%;100.00%;150;6.240421258;7.771761986;104.4054439;37.26539888;8.69816961;739.4139513
58.21%;5.67%;19.98%;1.25%;1.25%;0.50%;0.06%;0.38%;0.08%;12.62%;100.00%;150;6.460523493;4.601523577;94.97135316;36.96579778;8.877831611;919.2937623
57.36%;4.02%;19.29%;1.19%;0.60%;0.30%;0.17%;0.26%;0.05%;16.77%;100.00%;150;6.043124622;3.606743203;80.21249049;36.42471549;9.963439043;813.2666612
49.50%;4.06%;17.87%;1.13%;0.59%;0.71%;0.25%;0.43%;0.14%;25.33%;100.00%;150;5.474129489;3.657923184;81.81257543;31.43427025;6.637355938;651.7249357
57.07%;5.76%;23.49%;2.29%;1.14%;0.65%;0.09%;0.16%;0.10%;9.24%;100.00%;150;6.317426487;4.825658961;106.3971231;36.24638871;8.920954068;955.1682151
60.82%;5.84%;15.53%;2.12%;0.87%;0.83%;0.15%;0.58%;0.05%;13.22%;100.00%;150;4.45999141;5.244763346;92.38276658;38.62717803;12.62352978;966.9451513
55.06%;2.02%;16.93%;2.16%;0.63%;0.41%;0.24%;0.59%;0.02%;21.94%;100.00%;150;5.315719631;1.417095185;64.69326338;34.96513104;13.13425469;812.2311497
53.57%;7.54%;13.56%;2.95%;1.22%;0.39%;0.21%;0.21%;0.14%;20.21%;100.00%;150;6.110630587;6.653420794;101.8272777;34.0177052;9.295166307;874.112773
56.19%;3.47%;12.86%;1.14%;0.37%;0.64%;0.12%;0.11%;0.11%;24.99%;100.00%;150;5.808828602;3.284980784;61.14507629;35.68661068;8.743819526;910.5063118
59.66%;4.88%;17.29%;2.17%;1.07%;0.41%;0.10%;0.05%;0.13%;14.24%;100.00%;150;6.410637829;3.970271624;83.99974842;37.89011419;12.60485187;826.0693101
59.70%;2.65%;16.11%;2.19%;0.63%;0.68%;0.27%;0.20%;0.15%;17.42%;100.00%;150;5.970662286;2.097823414;65.87470995;37.91320091;14.38204014;919.8137983
51.02%;5.71%;24.30%;0.43%;0.68%;0.61%;0.04%;0.31%;0.12%;16.78%;100.00%;150;6.050040654;5.325157086;104.0488084;32.40322136;11.1578211;631.683164
49.27%;7.25%;18.81%;2.57%;0.70%;0.80%;0.04%;0.20%;0.14%;20.23%;100.00%;150;6.427414754;6.959956057;108.1797936;31.29249838;9.249588093;650.2616054
50.43%;5.52%;15.34%;0.84%;0.74%;0.67%;0.25%;0.57%;0.01%;25.63%;100.00%;150;5.775551897;5.041932756;84.94620925;32.02392397;7.242636486;772.3852632
56.76%;3.38%;12.41%;2.71%;0.53%;0.87%;0.14%;0.58%;0.07%;22.55%;100.00%;150;6.208704536;3.00841771;64.56532675;36.04363521;10.56359598;686.9204782
49.93%;3.58%;13.43%;1.70%;1.02%;0.44%;0.21%;0.44%;0.09%;29.17%;100.00%;150;5.847462012;2.634579243;64.95368903;31.70923645;10.04186345;795.1596141
61.28%;5.09%;15.90%;2.09%;1.38%;0.66%;0.29%;0.28%;0.10%;12.92%;100.00%;150;4.144493259;3.822424585;83.14183343;38.91420049;12.17807441;843.2961693
58.78%;7.75%;16.19%;0.88%;0.55%;0.90%;0.20%;0.28%;0.07%;14.40%;100.00%;150;6.378489534;7.686555682;101.1592538;37.33024533;7.734522915;875.8342263
59.92%;7.90%;16.28%;1.23%;0.60%;0.87%;0.13%;0.37%;0.05%;12.65%;100.00%;150;6.796402011;7.777316029;103.1175343;38.05208079;9.868364459;735.9075804
56.82%;1.82%;22.51%;1.00%;0.69%;0.67%;0.13%;0.44%;0.10%;15.83%;100.00%;150;6.061269448;1.13223658;72.96336958;36.08170046;10.46265847;925.4991762
57.87%;2.55%;16.31%;1.63%;0.43%;0.39%;0.23%;0.51%;0.09%;20.00%;100.00%;150;5.516320209;2.229931547;73.73519034;36.75396706;9.073778748;849.9248014
49.37%;5.59%;23.32%;1.44%;0.97%;0.65%;0.12%;0.07%;0.12%;18.36%;100.00%;150;5.860026449;4.846229014;102.4959074;31.35145296;9.690127047;720.1385426
62.10%;3.32%;20.47%;0.96%;0.84%;0.37%;0.22%;0.08%;0.05%;11.59%;100.00%;150;2.236898587;2.568389992;77.05031482;39.43660219;14.1210581;1123.30116
55.67%;6.47%;21.80%;2.08%;1.47%;0.83%;0.29%;0.50%;0.07%;10.82%;100.00%;150;6.168609836;5.200715319;114.4397195;35.3575938;11.03092537;652.083897
50.46%;6.51%;24.25%;2.61%;0.26%;0.45%;0.26%;0.52%;0.02%;14.66%;100.00%;150;5.884660149;6.687502872;114.6662149;32.04877465;10.65997207;667.1656627
58.79%;3.29%;17.66%;2.25%;0.52%;0.64%;0.06%;0.50%;0.07%;16.22%;100.00%;150;6.287236776;2.916545656;75.33786166;37.33529117;11.01991266;878.8068708
56.43%;2.47%;19.57%;1.21%;0.30%;0.53%;0.18%;0.08%;0.14%;19.08%;100.00%;150;5.981934785;2.300328908;68.76517731;35.83417032;11.39314085;814.4444072
56.98%;6.19%;20.77%;0.32%;0.28%;0.79%;0.10%;0.42%;0.10%;14.05%;100.00%;150;6.122379345;6.321124117;103.0740146;36.18347656;8.087907115;914.4980464
61.16%;2.41%;16.55%;1.87%;0.81%;0.63%;0.23%;0.28%;0.14%;15.91%;100.00%;150;5.865117163;1.614130767;66.83533537;38.84277515;9.917854715;909.8924668
62.62%;5.63%;16.07%;2.25%;1.29%;0.52%;0.06%;0.49%;0.12%;10.95%;100.00%;150;2.857377461;4.503668031;88.0437075;39.77024096;9.02054414;894.6161754
57.25%;1.62%;16.49%;1.52%;0.26%;0.33%;0.07%;0.40%;0.08%;21.99%;100.00%;150;5.808348196;1.427255749;62.24988041;36.35720795;12.60367667;884.7877715
62.65%;1.54%;22.59%;0.58%;1.13%;0.51%;0.07%;0.34%;0.13%;10.45%;100.00%;150;2.223613019;0.301898386;69.52661758;39.78793358;14.84036295;1101.901226
59.80%;3.02%;14.09%;1.28%;1.41%;0.33%;0.20%;0.36%;0.08%;19.42%;100.00%;150;5.233143754;1.557447589;61.23580975;37.97774831;9.47415136;766.7185989
52.41%;1.63%;12.89%;0.88%;0.89%;0.46%;0.05%;0.28%;0.02%;30.49%;100.00%;150;5.654207163;0.686103459;47.38840428;33.28608845;7.75126561;691.3567205
51.14%;3.21%;15.97%;2.99%;1.07%;0.87%;0.03%;0.42%;0.13%;24.17%;100.00%;150;6.073934628;2.172241624;76.06956228;32.47503281;8.598368786;686.0167843
59.11%;1.72%;17.63%;2.09%;0.68%;0.32%;0.20%;0.54%;0.03%;17.69%;100.00%;150;5.524421005;1.031155368;62.14012486;37.53609144;8.645774257;651.1606236
54.93%;6.18%;23.34%;0.87%;1.40%;0.27%;0.26%;0.53%;0.08%;12.14%;100.00%;150;5.909563647;4.974341819;111.5415314;34.8846739;7.217744989;717.5828081
56.67%;6.83%;12.41%;2.32%;0.51%;0.87%;0.21%;0.09%;0.09%;20.00%;100.00%;150;5.94407325;6.734088176;88.05586059;35.99047028;8.538897323;792.3314195
59.87%;6.16%;18.08%;1.46%;0.28%;0.37%;0.20%;0.25%;0.02%;13.31%;100.00%;150;6.361620773;6.284371007;96.12971782;38.02341829;10.12461955;933.3838308
52.21%;1.78%;15.95%;2.59%;1.40%;0.61%;0.13%;0.58%;0.06%;24.69%;100.00%;150;5.724425053;0.243179666;63.10137535;33.15714126;11.25365043;699.2275189
58.82%;4.55%;16.86%;2.93%;0.77%;0.78%;0.09%;0.05%;0.08%;15.07%;100.00%;150;6.161787693;3.973892841;83.13626222;37.35622024;9.294468107;906.44001
49.88%;1.52%;22.37%;0.27%;0.61%;0.69%;0.03%;0.42%;0.03%;24.19%;100.00%;150;5.828177598;0.904333768;68.00573938;31.67725043;10.22025464;607.1530007
49.46%;2.56%;24.72%;2.60%;0.80%;0.56%;0.23%;0.44%;0.08%;18.55%;100.00%;150;5.938101276;1.791096811;89.52913726;31.41299671;6.801708672;669.3849459
60.31%;5.45%;14.84%;2.43%;0.92%;0.81%;0.16%;0.13%;0.13%;14.82%;100.00%;150;6.462061022;4.751937711;90.35693506;38.29883115;7.821916078;791.8126907
52.47%;1.86%;17.75%;2.41%;0.79%;0.85%;0.30%;0.17%;0.04%;23.37%;100.00%;150;5.427001663;1.055595566;64.79701242;33.31917978;10.34521822;912.8089459
57.49%;5.50%;21.45%;1.38%;1.49%;0.44%;0.16%;0.59%;0.12%;11.38%;100.00%;150;6.288995033;4.135860433;98.05423221;36.50914722;9.356439811;869.8606765
49.13%;6.97%;20.11%;1.30%;1.48%;0.26%;0.05%;0.09%;0.08%;20.54%;100.00%;150;6.539230462;5.727044709;104.4257634;31.20289589;6.618909038;657.3515252
51.20%;2.29%;18.28%;0.45%;1.46%;0.41%;0.24%;0.35%;0.12%;25.21%;100.00%;150;5.474747614;0.717563296;63.92295449;32.51790922;10.898178;748.9715142
62.57%;3.16%;15.23%;2.04%;0.86%;0.43%;0.23%;0.51%;0.03%;14.94%;100.00%;150;5.852715197;2.366425651;74.65796332;39.73508284;14.00072706;1059.210378
50.92%;3.34%;17.80%;1.87%;1.45%;0.50%;0.22%;0.21%;0.06%;23.63%;100.00%;150;5.663277812;1.854163722;73.72900584;32.33511953;9.673618096;790.5692525
60.32%;7.61%;16.31%;2.27%;1.48%;0.45%;0.26%;0.39%;0.04%;10.86%;100.00%;150;4.947055472;6.419339266;103.6928841;38.30913481;12.24789887;850.4907382
61.18%;3.54%;17.45%;0.89%;0.36%;0.62%;0.08%;0.30%;0.11%;15.47%;100.00%;150;5.224169958;3.370451741;72.76822284;38.85373367;11.60866212;887.598817
56.56%;5.07%;23.07%;2.69%;0.42%;0.77%;0.13%;0.48%;0.02%;10.79%;100.00%;150;6.053615317;4.957904732;102.3868783;35.91754973;11.35917793;985.0546032
52.55%;6.11%;16.51%;2.61%;1.16%;0.81%;0.16%;0.51%;0.08%;19.50%;100.00%;150;6.291239681;5.176468098;94.8849856;33.37298064;10.55835119;887.6241556
49.69%;2.19%;20.71%;2.21%;0.96%;0.58%;0.28%;0.54%;0.07%;22.76%;100.00%;150;5.730693178;1.211698109;74.48184629;31.55911414;8.5843059;576.4240759
61.98%;6.29%;23.23%;0.95%;0.82%;0.71%;0.22%;0.55%;0.03%;5.23%;100.00%;150;5.874146656;5.787165726;105.9664402;39.36364757;9.588557824;1033.239125
61.58%;5.53%;21.14%;2.03%;0.77%;0.76%;0.15%;0.06%;0.09%;7.90%;100.00%;150;6.102388316;5.029035197;103.6384791;39.10595762;9.797528893;776.337748
58.75%;2.61%;13.14%;2.31%;0.51%;0.54%;0.05%;0.19%;0.13%;21.76%;100.00%;150;3.871620981;2.197053075;61.80526689;37.30880144;10.28562262;858.4826925
54.13%;7.58%;16.51%;2.16%;0.38%;0.90%;0.23%;0.15%;0.12%;17.85%;100.00%;150;6.443613306;7.707366701;103.430428;34.37423384;9.796199631;920.4425283
51.83%;3.28%;20.72%;0.47%;1.16%;0.30%;0.11%;0.11%;0.13%;21.89%;100.00%;150;6.263246656;2.133370062;76.44095258;32.91456612;8.254863554;615.9026515
59.49%;7.04%;13.87%;1.36%;0.75%;0.59%;0.18%;0.11%;0.07%;16.52%;100.00%;150;5.780749635;6.673945107;90.67230585;37.78278123;11.98883107;963.1954756
60.83%;1.70%;13.20%;1.61%;0.52%;0.40%;0.27%;0.17%;0.14%;21.18%;100.00%;150;5.553372707;1.20663723;54.68161422;38.63345789;9.818975986;668.6169137
61.72%;4.61%;21.25%;0.59%;1.16%;0.79%;0.18%;0.16%;0.11%;9.43%;100.00%;150;4.403608291;3.559154622;88.82495207;39.19626039;8.426104424;967.1069326
62.40%;5.62%;14.71%;0.55%;0.55%;0.45%;0.28%;0.59%;0.11%;14.75%;100.00%;150;5.774276818;5.397346167;80.50356702;39.6284918;8.760068076;929.1194309
49.89%;6.95%;23.78%;1.52%;1.11%;0.75%;0.02%;0.45%;0.04%;15.48%;100.00%;150;6.714202933;6.138953426;116.0817956;31.68321232;10.60191519;851.5872189
52.10%;2.95%;12.62%;1.69%;1.43%;0.32%;0.17%;0.48%;0.15%;28.10%;100.00%;150;6.060131923;1.46357389;60.3779743;33.0881196;7.11391431;712.9006742
60.79%;6.29%;15.29%;0.36%;1.33%;0.43%;0.04%;0.27%;0.05%;15.15%;100.00%;150;6.174265551;5.169978987;93.37752964;38.60588935;9.300460599;755.6133192
53.85%;7.08%;23.19%;2.12%;0.79%;0.56%;0.20%;0.40%;0.11%;11.70%;100.00%;150;6.49362571;6.665897891;115.5076903;34.19989301;11.47474842;903.0819296
57.07%;7.14%;19.96%;1.50%;1.35%;0.37%;0.08%;0.07%;0.13%;12.32%;100.00%;150;6.517107305;6.065504791;106.5167154;36.24062365;8.655346587;874.6067997
62.81%;6.47%;17.34%;2.92%;0.86%;0.45%;0.30%;0.60%;0.07%;8.19%;100.00%;150;6.257810863;5.936785898;102.4439931;39.89178783;11.65505091;867.3384163
60.87%;2.60%;13.34%;1.75%;1.10%;0.47%;0.27%;0.38%;0.08%;19.13%;100.00%;150;0.862589836;1.482900728;59.5699914;38.65925111;9.02439249;962.2871461
61.81%;6.78%;18.86%;1.89%;0.78%;0.77%;0.13%;0.54%;0.01%;8.44%;100.00%;150;6.578721834;6.357865993;109.4708306;39.25136719;8.39587391;884.5313122
53.04%;4.35%;15.58%;2.57%;0.36%;0.88%;0.10%;0.26%;0.13%;22.73%;100.00%;150;6.240650303;4.247234743;82.57049802;33.6860083;8.368488096;753.0259782
55.20%;3.12%;23.70%;0.74%;0.66%;0.83%;0.15%;0.23%;0.06%;15.30%;100.00%;150;5.924617772;2.562830845;84.77102158;35.05869298;8.961595595;712.7448964
57.73%;2.71%;18.92%;1.16%;1.01%;0.38%;0.26%;0.31%;0.14%;17.39%;100.00%;150;5.633148801;1.70050861;70.08855737;36.66039376;9.155404433;957.5846462
50.35%;5.98%;13.62%;1.94%;0.80%;0.26%;0.10%;0.49%;0.14%;26.31%;100.00%;150;5.910288086;5.47648321;83.76783021;31.97797767;9.692691908;649.4995698
62.56%;6.36%;22.39%;1.39%;0.82%;0.34%;0.13%;0.38%;0.03%;5.61%;100.00%;150;1.773876246;5.868194347;106.0263165;39.73059344;8.387848065;941.4209181
56.47%;3.75%;12.03%;0.77%;1.30%;0.38%;0.14%;0.18%;0.14%;24.85%;100.00%;150;5.772919799;2.474705388;61.73305073;35.86293503;8.479396644;797.1447758
